Frequency (Hz),Channel 1 Magnitude (X),Channel 2 Magnitude (X),Channel 2 Phase (deg)
1000.000000000001,1.001809040062242,0.07834036903468874,84.68011634129675
1047.128548050901,1.001804623285834,0.08193714311241743,84.46468255153985
1096.478196143186,1.001781565913275,0.08575699237985937,84.22334949494893
1148.153621496884,1.001811792745186,0.08977328977596227,83.99365655571785
1202.264434617413,1.001751127333749,0.09396213641136232,83.7519484943908
1258.925411794169,1.001767427420081,0.098266024796952,83.48473783993784
1318.256738556409,1.001795019996687,0.1028062012941858,83.23112939295721
1380.384264602885,1.001806806043679,0.107589044955851,82.9446438876289
1445.43977074593,1.001794638326511,0.112595311813212,82.65043542867535
1513.56124843621,1.001833044591951,0.1178311217692058,82.34898899442317
1584.893192461114,1.001786451170602,0.1232405399029554,82.01888721271879
1659.586907437563,1.001767902477515,0.1288877306199306,81.68961866268847
1737.800828749376,1.001799751366416,0.1348132219933348,81.33926843123518
1819.700858609984,1.001851686658752,0.1409895055215962,80.97890527743532
1905.46071796325,1.001840249099746,0.1474022162060896,80.59350063785675
1995.262314968881,1.001832821771485,0.1541305320875192,80.19731549701211
2089.296130854041,1.00183100467255,0.1612274415023778,79.77574004697917
2187.761623949554,1.001862906737781,0.1684735492657904,79.35194289233507
2290.867652767774,1.001862903689072,0.1761061490837968,78.89268860820739
2398.832919019493,1.001917836958162,0.1840674849185352,78.42418428191218
2511.886431509582,1.001842544568347,0.1923001581291623,77.92310817390234
2630.267991895385,1.001916063143002,0.2009242087853551,77.41226640917961
2754.228703338169,1.001820779469811,0.2098898528016452,76.87875602939087
2884.031503126609,1.001864624898453,0.2192020487431444,76.33345613235673
3019.951720402019,1.001922185241747,0.2288222814122808,75.74362248140311
3162.277660168382,1.001891059675478,0.238875843493797,75.14140505975958
3311.311214825914,1.001837647332844,0.2493827609998575,74.50569024092074
3467.368504525317,1.00195828597419,0.2601525635197195,73.85954471256935
3630.780547701017,1.001921465731175,0.2713312486348786,73.18380341187404
3801.893963205617,1.001996293534235,0.2829597442910528,72.46925795533878
3981.071705534973,1.001904039529783,0.294962992676956,71.74496521009009
4168.693834703359,1.001854995116784,0.3073829235348575,70.98196980344414
4365.158322401665,1.001937062430425,0.32015752237093,70.19775977519758
4570.881896148752,1.001950188264616,0.333402191310882,69.37823053511124
4786.300923226389,1.001861327618774,0.3469752396249091,68.54201156276021
5011.87233627273,1.001832136451021,0.3608977785049988,67.6647784545126
5248.074602497728,1.001652318545789,0.3753090838708917,66.76392010197631
5495.408738576254,1.001873896403922,0.3899648690864551,65.83202139058548
